user,gesture,sequence,x,y,z,time
3,0,10,-0.2842024305977398,0.8705614682208871,0.4109346919187855,3154.0
3,0,10,-0.37473995744193705,0.8817602366025353,0.4241146962294531,3186.0
3,0,10,-0.44841570410237475,0.8913653340991027,0.43800045712971536,3217.0
3,0,10,-0.515951805207776,0.8913653340991027,0.45033355353286925,3248.0
3,0,10,-0.5808407402948824,0.8910638287965199,0.4599847748955673,3283.0
3,0,10,-0.6257090920503482,0.8774960901802923,0.46764223389266185,3312.0
3,0,10,-0.6721123551945731,0.8757516666439201,0.4735705892452513,3346.0
3,0,10,-0.7042565139881517,0.8658235277517281,0.4782285827365714,3378.0
3,0,10,-0.7313732818562294,0.8557446362082448,0.48181029742876097,3410.0
3,0,10,-0.753106737317355,0.8430383413136824,0.48450981638395824,3457.0
3,0,10,-0.774017124352624,0.8383434730306067,0.4865388665790405,3489.0
3,0,10,-0.7898111400920296,0.8279846122775822,0.4881091749908872,3521.0
3,0,10,-0.8036253425908615,0.8179272568271404,0.4893442490226769,3553.0
3,0,10,-0.8160825944416603,0.8050271370952033,0.49029702041862877,3587.0
3,0,10,-0.8220665243485618,0.7880136235923146,0.4909851330934831,3616.0
3,0,10,-0.8264488075889319,0.7756949783725016,0.4914262309619793,3650.0
3,0,10,-0.8300970027738087,0.7682650262731389,0.4916556018535971,3682.0
3,0,10,-0.8362811385140266,0.7635486218970217,0.4917085335978172,3712.0
3,0,10,-0.8382164615694185,0.757690804589698,0.49167324576833743,3745.0
3,0,10,-0.8400183140692661,0.7541373492378288,0.49140858704723894,3779.0
3,0,10,-0.8415532254580254,0.7524790700736232,0.4908263378608248,3809.0
3,0,10,-0.842887931013468,0.7466858610454246,0.4898382786353932,3857.0
3,0,10,-0.8432883426801009,0.7425078589953481,0.48840912154146543,3889.0
3,0,10,-0.8423095586061096,0.7277125630757474,0.48645064700534163,3921.0
3,0,10,-0.8415977156432066,0.7221562510710066,0.4839099232828037,3953.0
3,1,1,-1.0054550676663903,0.5175633671755102,-0.2677032007200466,12.0
3,1,1,-1.002785656555505,0.511554797216895,-0.2709143932026995,42.0
3,1,1,-0.9995823632224423,0.5091212187031907,-0.27410794177061204,78.0
3,1,1,-0.9969796873893291,0.514074520102766,-0.27708976336164715,108.0
3,1,1,-0.9974245892411433,0.5353952522139809,-0.2798598579758029,138.0
