0,1,2,3,4,5,6
1,0,3,0.099258,-0.028022,0.258075,332.0
1,0,3,0.099448,-0.025461,0.258055,364.0
1,0,3,0.099434,-0.022667,0.258038,397.0
1,0,3,0.099209,-0.01861,0.258026,429.0
1,0,3,0.099027,-0.01559,0.258018,460.0
1,0,3,0.098575,-0.009952,0.258016,492.0
1,0,3,0.098098,-0.004215,0.258021,540.0
1,0,3,0.097466,0.001636,0.258053,572.0
1,0,3,0.096964,0.0077,0.258222,604.0
1,0,3,0.095802,0.012655,0.258495,636.0
1,0,3,0.09517,0.017968,0.259032,668.0
1,0,3,0.094241,0.02531,0.259736,700.0
1,0,3,0.092932,0.030577,0.260827,732.0
1,0,3,0.091846,0.035851,0.262198,763.0
1,0,3,0.090799,0.040669,0.263779,796.0
1,0,3,0.088645,0.047713,0.265996,827.0
1,0,3,0.086519,0.051691,0.268443,860.0
